Customer ID,Recency,Frequency,Monetary,R Score,F Score,M Score,RFM Score,Customer Segment
12346.0,326,12,77556.46,2,4,4,244,At Risk
12347.0,2,8,4921.53,4,4,4,444,VIP Customer
12348.0,75,5,2019.4,3,3,3,333,VIP Customer
12349.0,19,4,4428.69,4,3,4,434,VIP Customer
12350.0,310,1,334.4,2,1,1,211,Regular Customer
12351.0,375,1,300.93,2,1,1,211,Regular Customer
12352.0,36,10,2849.84,3,4,4,344,VIP Customer
12353.0,204,2,406.76,2,2,2,222,At Risk
12354.0,232,1,1079.4,2,1,3,213,Regular Customer
12355.0,214,2,947.61,2,2,3,223,At Risk
12356.0,23,6,6371.73,4,3,4,434,VIP Customer
12357.0,33,3,18287.66,3,2,4,324,Loyal Customer
12358.0,2,5,3887.07,4,3,4,434,VIP Customer
12359.0,58,10,8873.39,3,4,4,344,VIP Customer
12360.0,52,8,4252.89,3,4,4,344,VIP Customer
12361.0,287,4,511.25,2,3,2,232,At Risk
12362.0,3,11,5356.23,4,4,4,444,VIP Customer
12363.0,110,2,552.0,2,2,2,222,At Risk
12364.0,8,4,1313.1,4,3,3,433,VIP Customer
12365.0,291,2,641.38,2,2,2,222,At Risk
12366.0,634,1,500.24,1,1,2,112,Regular Customer
12367.0,4,1,168.9,4,1,1,411,Recent Customer
12368.0,628,1,917.6999999999999,1,1,3,113,Regular Customer
12369.0,413,3,1791.15,1,2,3,123,At Risk
12370.0,51,7,4316.56,3,3,4,334,VIP Customer
12371.0,45,5,4067.38,3,3,4,334,VIP Customer
12372.0,72,3,1298.04,3,2,3,323,Loyal Customer
12373.0,311,3,1127.65,2,2,3,223,At Risk
12374.0,25,4,2989.2200000000003,4,3,4,434,VIP Customer
12375.0,11,2,457.5,4,2,2,422,Loyal Customer
12376.0,390,2,503.15,1,2,2,122,At Risk
12377.0,315,4,3426.32,2,3,4,234,At Risk
12378.0,130,2,5416.32,2,2,4,224,At Risk
12379.0,82,4,1620.22,3,3,3,333,VIP Customer
12380.0,22,11,9676.300000000001,4,4,4,444,VIP Customer
12381.0,5,5,1845.31,4,3,3,433,VIP Customer
12383.0,185,5,1850.56,2,3,3,233,At Risk
12384.0,29,2,585.27,3,2,2,322,Loyal Customer
12385.0,379,1,1938.4,2,1,3,213,Regular Customer
12386.0,338,2,401.9,2,2,2,222,At Risk
12387.0,415,1,143.94,1,1,1,111,Regular Customer
12388.0,16,8,3901.11,4,4,4,444,VIP Customer
12389.0,403,3,1433.33,1,2,3,123,At Risk
12390.0,80,1,549.84,3,1,2,312,Regular Customer
12391.0,22,6,2724.84,4,3,4,434,VIP Customer
12392.0,591,1,234.75000000000003,1,1,1,111,Regular Customer
12393.0,72,6,2399.4500000000003,3,3,4,334,VIP Customer
12394.0,64,2,1272.48,3,2,3,323,Loyal Customer
12395.0,19,15,4721.17,4,4,4,444,VIP Customer
12396.0,674,1,931.43,1,1,3,113,Regular Customer
12397.0,36,2,2409.9,3,2,4,324,Loyal Customer
12398.0,46,1,1635.6599999999999,3,1,3,313,Regular Customer
12399.0,119,7,1962.3,2,3,3,233,At Risk
12400.0,414,1,205.25,1,1,1,111,Regular Customer
12401.0,303,1,84.3,2,1,1,211,Regular Customer
12402.0,323,6,1256.9,2,3,3,233,At Risk
12403.0,50,2,1019.36,3,2,3,323,Loyal Customer
12404.0,682,1,63.24,1,1,1,111,Regular Customer
12405.0,149,1,1710.39,2,1,3,213,Regular Customer
12406.0,22,5,6390.36,4,3,4,434,VIP Customer
12407.0,50,5,1708.1200000000001,3,3,3,333,VIP Customer
12408.0,33,8,4340.7699999999995,3,4,4,344,VIP Customer
12409.0,79,7,23419.29,3,3,4,334,VIP Customer
12410.0,309,3,1013.71,2,2,3,223,At Risk
12411.0,410,1,346.9,1,1,2,112,Regular Customer
12412.0,75,6,2596.93,3,3,4,334,VIP Customer
12413.0,67,4,999.45,3,3,3,333,VIP Customer
12414.0,217,6,952.41,2,3,3,233,At Risk
12415.0,24,28,144458.37,4,4,4,444,VIP Customer
12416.0,657,1,202.56,1,1,1,111,Regular Customer
12417.0,3,20,6797.41,4,4,4,444,VIP Customer
12418.0,113,4,2021.2,2,3,3,233,At Risk
12419.0,386,2,503.01,1,2,2,122,At Risk
12420.0,64,1,600.39,3,1,2,312,Regular Customer
12421.0,16,6,1098.6,4,3,3,433,VIP Customer
12422.0,96,17,5231.8,3,4,4,344,VIP Customer
12423.0,1,10,2622.39,4,4,4,444,VIP Customer
12424.0,163,4,3340.03,2,3,4,234,At Risk
12425.0,78,2,1741.41,3,2,3,323,Loyal Customer
12426.0,195,2,1345.21,2,2,3,223,At Risk
12427.0,22,3,825.8,4,2,2,422,Loyal Customer
12428.0,26,9,7956.46,4,4,4,444,VIP Customer
12429.0,9,8,6204.41,4,4,4,444,VIP Customer
12430.0,43,1,256.4,3,1,1,311,Regular Customer
