Customer ID,Recency,Frequency,Monetary,R Score,F Score,M Score,RFM Score,Customer Segment
12346.0,326,17,-64.67999999999302,2,5,1,251,At Risk
12347.0,3,8,5633.32,5,4,5,545,VIP Customer
12348.0,76,5,2019.4,3,3,4,334,Regular Customer
12349.0,19,5,4404.54,5,3,5,535,Regular Customer
12350.0,311,1,334.4,2,1,2,212,Regular Customer
12351.0,376,1,300.93,2,1,2,212,Regular Customer
12352.0,37,13,1889.21,4,5,4,454,VIP Customer
12353.0,205,2,406.76,2,2,2,222,Regular Customer
12354.0,233,1,1079.4,2,1,3,213,Regular Customer
12355.0,215,2,947.61,2,2,3,223,Regular Customer
12356.0,23,6,6373.68,4,4,5,445,VIP Customer
12357.0,34,3,18287.66,4,2,5,425,Recent Customer
12358.0,2,5,3887.07,5,3,5,535,Regular Customer
12359.0,8,14,8714.89,5,5,5,555,VIP Customer
12360.0,53,9,4212.89,4,4,5,445,VIP Customer
12361.0,288,4,511.25,2,3,2,232,At Risk
12362.0,4,14,5284.58,5,5,5,555,VIP Customer
12363.0,110,2,552.0,3,2,2,322,Regular Customer
12364.0,8,4,1313.1,5,3,4,534,Regular Customer
12365.0,292,3,320.69,2,2,2,222,Regular Customer
12366.0,634,1,500.24,1,1,2,112,Regular Customer
12367.0,5,1,168.9,5,1,1,511,Recent Customer
12368.0,629,1,917.6999999999999,1,1,3,113,Regular Customer
12369.0,414,3,1791.15,2,2,4,224,Regular Customer
12370.0,52,7,4320.31,4,4,5,445,VIP Customer
12371.0,45,5,4067.38,4,3,5,435,Regular Customer
12372.0,72,3,1298.04,3,2,4,324,Regular Customer
12373.0,312,3,1127.65,2,2,3,223,Regular Customer
12374.0,26,4,2989.2200000000003,4,3,5,435,Regular Customer
12375.0,3,3,455.42,5,2,2,522,Recent Customer
12376.0,390,2,503.15,2,2,2,222,Regular Customer
12377.0,316,4,3426.32,2,3,5,235,At Risk
12378.0,130,2,5416.32,3,2,5,325,Regular Customer
12379.0,82,5,1618.27,3,3,4,334,Regular Customer
12380.0,22,15,7888.0,4,5,5,455,VIP Customer
12381.0,5,6,1803.96,5,4,4,544,VIP Customer
12382.0,683,1,-18.38,1,1,1,111,Regular Customer
12383.0,185,6,1839.31,3,4,4,344,Loyal Customer
12384.0,29,3,566.16,4,2,2,422,Recent Customer
12385.0,380,2,1923.4,2,2,4,224,Regular Customer
12386.0,338,2,660.8,2,2,3,223,Regular Customer
12387.0,416,1,143.94,1,1,1,111,Regular Customer
12388.0,16,8,3901.11,5,4,5,545,VIP Customer
12389.0,403,3,1433.33,2,2,4,224,Regular Customer
12390.0,80,1,549.84,3,1,2,312,Regular Customer
12391.0,22,7,2747.82,4,4,4,444,VIP Customer
12392.0,592,1,234.75000000000003,1,1,1,111,Regular Customer
12393.0,73,7,2376.75,3,4,4,344,Loyal Customer
12394.0,64,2,1272.48,3,2,4,324,Regular Customer
12395.0,16,18,5046.92,5,5,5,555,VIP Customer
12396.0,675,1,931.43,1,1,3,113,Regular Customer
12397.0,36,2,2409.9,4,2,4,424,Recent Customer
12398.0,46,1,1635.6599999999999,4,1,4,414,Recent Customer
12399.0,120,7,1962.3,3,4,4,344,Loyal Customer
12400.0,415,1,205.25,1,1,1,111,Regular Customer
12401.0,304,1,84.3,2,1,1,211,Regular Customer
12402.0,324,7,1244.15,2,4,4,244,At Risk
12403.0,50,3,1001.36,4,2,3,423,Recent Customer
12404.0,683,1,63.24,1,1,1,111,Regular Customer
12405.0,149,1,1710.39,3,1,4,314,Regular Customer
12406.0,23,7,6072.21,4,4,5,445,VIP Customer
12407.0,50,5,1708.1200000000001,4,3,4,434,Regular Customer
12408.0,33,14,4279.64,4,5,5,455,VIP Customer
12409.0,79,13,23090.47,3,5,5,355,Loyal Customer
12410.0,302,4,1001.46,2,3,3,233,At Risk
12411.0,410,1,346.9,2,1,2,212,Regular Customer
12412.0,75,8,2581.03,3,4,4,344,Loyal Customer
12413.0,67,6,935.5,3,4,3,343,Loyal Customer
12414.0,218,8,692.41,2,4,3,243,At Risk
12415.0,25,33,143269.29,4,5,5,455,VIP Customer
12416.0,657,1,202.56,1,1,1,111,Regular Customer
12417.0,4,27,6708.21,5,5,5,555,VIP Customer
12418.0,113,5,2016.95,3,3,4,334,Regular Customer
12419.0,386,2,503.01,2,2,2,222,Regular Customer
12420.0,64,1,600.39,3,1,3,313,Regular Customer
12421.0,16,8,1092.83,5,4,3,543,Loyal Customer
12422.0,96,21,4119.35,3,5,5,355,Loyal Customer
12423.0,1,11,2612.19,5,5,4,554,VIP Customer
12424.0,163,7,3289.78,3,4,5,345,Loyal Customer
12425.0,79,3,1680.81,3,2,4,324,Regular Customer
12426.0,195,3,1311.41,2,2,4,224,Regular Customer
12427.0,12,5,1011.87,5,3,3,533,Regular Customer
12428.0,26,12,7877.2,4,5,5,455,VIP Customer
12429.0,10,9,7435.51,5,4,5,545,VIP Customer
12430.0,44,1,256.4,4,1,1,411,Recent Customer
12431.0,36,33,10719.41,4,5,5,455,VIP Customer
12432.0,43,5,5059.32,4,3,5,435,Regular Customer
12433.0,1,11,20428.86,5,5,5,555,VIP Customer
12434.0,85,5,1062.48,3,3,3,333,Regular Customer
12435.0,80,6,13925.93,3,4,5,345,Loyal Customer
12436.0,100,1,509.01,3,1,2,312,Regular Customer
12437.0,2,47,12394.85,5,5,5,555,VIP Customer
12438.0,15,2,2906.85,5,2,5,525,Recent Customer
12439.0,683,3,1104.48,1,2,3,123,Regular Customer
12440.0,458,3,768.15,1,2,3,123,Regular Customer
12441.0,367,1,347.1,2,1,2,212,Regular Customer
12442.0,4,1,172.06,5,1,1,511,Recent Customer
12443.0,733,1,485.31,1,1,2,112,Regular Customer
12444.0,22,5,5005.46,4,3,5,435,Regular Customer
12445.0,23,3,426.48,4,2,2,422,Recent Customer
12446.0,58,1,1002.3100000000001,4,1,3,413,Recent Customer
12447.0,244,1,476.49,2,1,2,212,Regular Customer
12448.0,45,1,449.45,4,1,2,412,Recent Customer
12449.0,23,6,4835.89,4,4,5,445,VIP Customer
12450.0,157,7,666.95,3,4,3,343,Loyal Customer
12451.0,11,10,12546.53,5,4,5,545,VIP Customer
12452.0,17,3,428.57,5,2,2,522,Recent Customer
